Sentence,Scene Role,Function,Notes
"<In></en/in/Circumstance--Circumstance> arguing for tax reform, the president claimed that loopholes allow   big corporations to profit from moving their headquarters overseas. ",Circumstance,Circumstance,
You crossed the line <in></en/in/Circumstance--Circumstance> sharing confidential information.     ,Circumstance,Circumstance,"[but see  under Topic, which is syntactically parallel]"
I found out <in></en/in/Circumstance--Circumstance> our conversation that she speaks 5 languages. ,Circumstance,Circumstance,
Bipartisan compromise is unlikely <with></en/with/Circumstance--Circumstance> the election just around the corner. ,Circumstance,Circumstance,
"<As></en/as/Circumstance--Circumstance> we watched, she transformed into a cat.    ",Circumstance,Circumstance,"[‘while’, ‘unfolding at the same time as’; not simply providing a ‘when’—contrast  under Time]"
My tutor was helpful <in></en/in/Circumstance--Circumstance> giving concrete examples and exercises. ,Circumstance,Circumstance,
You were correct <in></en/in/Circumstance--Circumstance> answering the question. ,Circumstance,Circumstance,
You were correct <in></en/in/Circumstance--Circumstance> your answer. ,Circumstance,Circumstance,
I was involved <in></en/in/Circumstance--Circumstance> a car accident.  ,Circumstance,Circumstance,(Circumstance)
I bought her a bike <for></en/for/Circumstance--Circumstance> Christmas. ,Circumstance,Circumstance,
I had peanut butter <for></en/for/Circumstance--Circumstance> lunch. ,Circumstance,Circumstance,
Let’s discuss the matter <over></en/over/Circumstance--Circumstance> lunch.  ,Circumstance,Circumstance,[compare ]
You can leave <as_long_as></en/as_long_as/Circumstance--Circumstance> your work is done. ,Circumstance,Circumstance,
You can leave provided your work is done. ,Circumstance,Circumstance,
Whether you can leave depends <on></en/on/Circumstance--Circumstance> whether your work is done. ,Circumstance,Circumstance,
Whether you can leave is subject <to></en/to/Circumstance--Circumstance> whether your work is done. ,Circumstance,Circumstance,
We ate there <for></en/for/Circumstance--Circumstance> dinner. ,Circumstance,Circumstance,
I received a new bicycle <for></en/for/Circumstance--Circumstance> Christmas. ,Circumstance,Circumstance,
I always drink eggnog <for></en/for/Circumstance--Circumstance> Christmas.  ,Circumstance,Circumstance,[at and in celebration of Christmastime]
We were wearing costumes <for></en/for/Circumstance--Circumstance> Halloween. ,Circumstance,Circumstance,
I haven’t seen them <in></en/in/Circumstance--Locus> that setting. ,Circumstance,Locus,
"<In></en/in/Circumstance--Locus> that case, I wouldn’t worry about it. ",Circumstance,Locus,
We are having fun <at></en/at/Circumstance--Locus> the party.  ,Circumstance,Locus,(Circumstance↝Locus)
We are having fun <on></en/on/Circumstance--Locus> vacation.  ,Circumstance,Locus,(Circumstance↝Locus)
We are <at></en/at/Circumstance--Locus> the party.  ,Circumstance,Locus,(Circumstance↝Locus)
We are <on></en/on/Circumstance--Locus> vacation.  ,Circumstance,Locus,(Circumstance↝Locus)
They are <on></en/on/Circumstance--Locus> a journey  ,Circumstance,Locus,(Circumstance↝Locus)
They are <on></en/on/Circumstance--Locus>_ the _way  ,Circumstance,Locus,(Circumstance↝Locus)
They are <on></en/on/Circumstance--Locus>_ their`$ _way  ,Circumstance,Locus,(Circumstance↝Locus)
We have to keep going <through></en/through/Circumstance--Path> all these challenges.   ,Circumstance,Path,[metaphoric motion]|(Circumstance↝Path)
I went outside <because_of></en/because_of/Explanation--Explanation> the smell. ,Explanation,Explanation,
The rain is <due_to></en/due_to/Explanation--Explanation> a cold front. ,Explanation,Explanation,
He thanked her <for></en/for/Explanation--Explanation> the cookies. ,Explanation,Explanation,
Thank you <for></en/for/Explanation--Explanation> being so helpful. ,Explanation,Explanation,
I will appoint him <since></en/since/Explanation--Explanation> he is most qualified for the job.  ,Explanation,Explanation,(Explanation)
I will appoint him <as></en/as/Explanation--Explanation> he is most qualified for the job.  ,Explanation,Explanation,(Explanation)
I will appoint him #after he is most qualified for the job.  ,Explanation,Explanation,(Explanation)
I will appoint him #when he is most qualified for the job.  ,Explanation,Explanation,(Explanation)
 I’ll try not to whistle <since></en/since/Explanation--Explanation> I know that gets on your nerves.  ,Explanation,Explanation,[‘because’]|(Explanation)
He reacted <out_of></en/out_of/Explanation--Source> anger.  ,Explanation,Source,(Explanation↝Source)
I joined a protest <after></en/after/Explanation--Time> the shameful vote in Congress.  ,Explanation,Time,(Explanation↝Time)
Her popularity has grown <since></en/since/Explanation--Time> she announced a bid for president.  ,Explanation,Time,(Explanation↝Time)
We arrived <for></en/for/Purpose--Purpose> our  visit.  ,Purpose,Purpose,(third)|(Purpose)
He rose <to></en/to/Purpose--Purpose> make a grand speech. ,Purpose,Purpose,
He rose <for></en/for/Purpose--Purpose> a grand speech. ,Purpose,Purpose,
surgery <to></en/to/Purpose--Purpose> treat a leg injury ,Purpose,Purpose,
I went to the store <for></en/for/Purpose--Purpose> eggs.  ,Purpose,Purpose,[understood: ‘to acquirebuy eggs’]
surgery <for></en/for/Purpose--Purpose> a leg injury  ,Purpose,Purpose,[understood: ‘to treat a leg injury’]
We hired a caterer <for></en/for/Purpose--Purpose> the party. ,Purpose,Purpose,
surgery <for></en/for/Purpose--Purpose> an ingrown toenail ,Purpose,Purpose,
